City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Cabo San Lucas,MX,22.8909,-109.9124,76.3,76,1,3.44,clear sky
80,Gravdal,NO,68.1214,13.5031,39.74,73,100,25.52,overcast clouds
81,Fortuna,US,40.5982,-124.1573,49.98,71,1,0.0,clear sky
82,Atar,MR,20.5169,-13.0499,77.79,41,100,9.62,overcast clouds
83,Esso,RU,55.9333,158.7,21.92,95,77,5.57,broken clouds
84,Ushuaia,AR,-54.8,-68.3,38.86,70,75,17.27,broken clouds
85,Marang,MY,5.2056,103.2059,78.71,79,100,3.58,overcast clouds
86,Bluff,NZ,-46.6,168.3333,55.6,68,45,12.28,scattered clouds
87,Mar Del Plata,AR,-38.0023,-57.5575,57.22,68,0,1.99,clear sky
88,Atambua,ID,-9.1061,124.8925,85.53,60,83,3.15,broken clouds
89,Pevek,RU,69.7008,170.3133,-19.14,97,19,2.89,few clouds
90,Paamiut,GL,61.994,-49.6678,12.58,79,1,7.96,clear sky
91,Kalanguy,RU,51.0167,116.5167,1.69,79,5,3.94,clear sky
92,New Norfolk,AU,-42.7826,147.0587,72.91,43,100,1.99,overcast clouds
93,Esperance,AU,-33.8667,121.9,60.64,71,100,16.91,overcast clouds
94,Moscow,RU,55.7522,37.6156,23.38,82,19,6.55,few clouds
95,Tura,IN,25.5198,90.2201,67.5,66,0,1.83,clear sky
96,Dawson Creek,CA,55.7666,-120.2362,11.55,77,96,13.06,overcast clouds
97,Barrow,US,71.2906,-156.7887,-5.78,77,20,3.44,few clouds
98,Leningradskiy,RU,69.3833,178.4167,-15.74,91,32,4.5,scattered clouds
99,Vila Velha,BR,-20.3297,-40.2925,69.75,89,75,4.61,broken clouds
100,Zhuanghe,CN,39.7008,122.9911,31.73,34,0,17.74,clear sky
101,Iqaluit,CA,63.7506,-68.5145,28.13,74,90,13.0,overcast clouds
102,Kayanza,BI,-3.0667,29.6667,56.98,89,88,0.94,overcast clouds
103,Makakilo City,US,21.3469,-158.0858,80.92,71,90,6.91,overcast clouds
104,Cape Coast,GH,5.1053,-1.2466,80.26,80,22,3.96,few clouds
105,Bukachacha,RU,52.9833,116.9167,2.14,70,3,4.47,clear sky
106,Talcahuano,CL,-36.7167,-73.1167,60.48,72,0,8.05,clear sky
107,Lesnoye,RU,58.2841,35.5158,18.72,96,74,5.1,broken clouds
108,Faanui,PF,-16.4833,-151.75,81.28,73,100,7.18,light rain
109,Funtua,NG,11.5233,7.3081,70.84,28,9,6.02,clear sky
110,Grand Gaube,MU,-20.0064,57.6608,72.37,74,0,5.99,clear sky
111,Ilulissat,GL,69.2167,-51.1,15.82,73,20,11.5,few clouds
112,Harper,LR,4.375,-7.7169,78.53,83,4,4.63,clear sky
113,Nikolskoye,RU,59.7035,30.7861,26.8,94,100,5.01,overcast clouds
114,Uporovo,RU,56.3109,66.2693,18.84,91,45,11.3,scattered clouds
115,Mogadishu,SO,2.0371,45.3438,79.07,77,58,9.82,broken clouds
116,Abha,SA,18.2164,42.5053,53.42,66,0,0.0,clear sky
117,Torbay,CA,47.6666,-52.7314,38.26,86,20,12.66,few clouds
118,Lompoc,US,34.6391,-120.4579,72.12,46,1,0.0,clear sky
119,Gornopravdinsk,RU,60.05,69.9,19.22,94,100,7.94,light snow
120,Saint George,US,37.1041,-113.5841,54.95,29,1,3.0,clear sky
121,Gubkinskiy,RU,64.434,76.5026,14.85,96,100,9.01,overcast clouds
122,Mahebourg,MU,-20.4081,57.7,72.25,94,40,3.44,scattered clouds
123,Karasjok,NO,69.4719,25.5112,10.51,92,100,3.49,overcast clouds
124,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,84,20,9.22,few clouds
125,Castro,BR,-24.7911,-50.0119,62.24,60,5,2.51,clear sky
126,Zyryanka,RU,65.75,150.85,-22.68,98,100,4.9,overcast clouds
127,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.17,98,99,0.72,overcast clouds
128,Namibe,AO,-15.1961,12.1522,68.92,77,31,4.23,scattered clouds
129,Pacifica,US,37.6138,-122.4869,62.69,70,20,1.01,few clouds
130,Port Lincoln,AU,-34.7333,135.8667,64.74,74,100,12.19,overcast clouds
131,Tatawin,TN,32.9297,10.4518,59.88,55,47,4.99,scattered clouds
132,Pringsewu,ID,-5.3582,104.9744,82.04,73,100,5.3,overcast clouds
133,Lata,PT,40.1629,-8.3327,45.81,80,1,3.06,clear sky
134,Hami,CN,42.8,93.45,28.89,47,78,3.78,broken clouds
135,Agadez,NE,19.75,10.25,71.02,23,0,9.37,clear sky
136,Khatanga,RU,71.9667,102.5,-2.72,78,98,21.94,overcast clouds
137,Chokurdakh,RU,70.6333,147.9167,-13.14,99,100,5.21,overcast clouds
